id,season_2019-2020,league,team_type,club,stadium,capacity,street,postcode,city,federal_state,latitude,longitude,homepage,wikipedia_de,wikipedia_en,openstreetmap_object
58,germany_league_4,Regionalliga Nord,1,VfB Lübeck,Stadion Lohmühle,15.292,Bei der Lohmühle 13,23554,Lübeck,SH,50.65731,7.81872,vfb-luebeck.de,https://de.wikipedia.org/wiki/VfB_Lübeck,https://en.wikipedia.org/wiki/VfB_Lübeck,https://www.openstreetmap.org/node/819234043
59,germany_league_4,Regionalliga Nord,2,Werder Bremen II,Weserstadion Platz 11,5.500,Am Weserstadion 8,28205,Bremen,HB,53.06374,8.84297,werder.de,https://de.wikipedia.org/wiki/Werder_Bremen,https://en.wikipedia.org/wiki/Werder_Bremen,https://www.openstreetmap.org/way/232421157
60,germany_league_4,Regionalliga Nord,1,SC Weiche Flensburg 08,Manfred-Werner-Stadion,2.500,Bredstedter Straße 2,24941,Flensburg,SH,54.76036,9.40689,weiche-liga.de,https://de.wikipedia.org/wiki/SC_Weiche_Flensburg_08,https://en.wikipedia.org/wiki/SC_Weiche_Flensburg_08,https://www.openstreetmap.org/way/374397741
61,germany_league_4,Regionalliga Nord,1,SV Drochtersen/Assel,Kehdinger Stadion,3.000,Am Sportplatz,21706,Drochtersen,NI,53.70385,9.38045,sv-drochtersen-assel.com,https://de.wikipedia.org/wiki/SV_Drochtersen/Assel,https://en.wikipedia.org/wiki/SV_Drochtersen/Assel,https://www.openstreetmap.org/way/667512316
62,germany_league_4,Regionalliga Nord,2,Hannover 96 II,Eilenriedestadion,3.000,Clausewitzstraße 4,30175,Hannover,NI,52.37658,9.77290,hannover92.de,https://de.wikipedia.org/wiki/Hannover_96,https://en.wikipedia.org/wiki/Hannover_96,https://www.openstreetmap.org/way/179158024
63,germany_league_4,Regionalliga Nord,2,Hamburger SV II,Wolfgang-Meyer-Sportanlage,1.318,Hagenbeckstraße 124,22527,Hamburg,HH,53.58924,9.94451,hsv-ev.de,https://de.wikipedia.org/wiki/Hamburger_SV,https://en.wikipedia.org/wiki/Hamburger_SV,https://www.openstreetmap.org/way/75900927
64,germany_league_4,Regionalliga Nord,1,BSV Rehden,Sportplatz Waldsportstätten,4.350,Dickeler Straße 22,49453,Rehden,NI,52.61632,8.48309,bsv-rehden.de,https://de.wikipedia.org/wiki/BSV_Rehden,https://en.wikipedia.org/wiki/BSV_Schwarz-Weiß_Rehden,https://www.openstreetmap.org/way/112312861
65,germany_league_4,Regionalliga Nord,1,VfB Oldenburg,Marschweg-Stadion,15.200,Marschweg,26122,Oldenburg,NI,53.12955,8.20645,vfb-oldenburg.de,https://de.wikipedia.org/wiki/VfB_Oldenburg,https://en.wikipedia.org/wiki/VfB_Oldenburg,https://www.openstreetmap.org/way/22774077
66,germany_league_4,Regionalliga Nord,2,Holstein Kiel II,Holstein-Stadion,15.034,Westring 501,24106,Kiel,SH,54.34918,10.12370,holstein-kiel.de,https://de.wikipedia.org/wiki/Holstein_Kiel,https://en.wikipedia.org/wiki/Holstein_Kiel,https://www.openstreetmap.org/relation/277125
67,germany_league_4,Regionalliga Nord,1,TSV Havelse,Wilhelm-Langrehr-Stadion,3.500,Hannoversche Straße 90-92,30823,Garbsen,NI,52.40792,9.60095,tsv-havelse.de,https://de.wikipedia.org/wiki/TSV_Havelse,https://en.wikipedia.org/wiki/TSV_Havelse,https://www.openstreetmap.org/way/28193746
68,germany_league_4,Regionalliga Nord,1,SSV Jeddeloh,53acht-Arena,2.000,Wischenstraße 46,26188,Edewecht-Jeddeloh,NI,53.09128,8.05833,ssv-jeddeloh.de,https://de.wikipedia.org/wiki/SSV_Jeddeloh,https://en.wikipedia.org/wiki/SSV_Jeddeloh,https://www.openstreetmap.org/way/25540000
69,germany_league_4,Regionalliga Nord,1,Eintracht Norderstedt,Edmund-Plambeck-Stadion,5.068,Ochsenzoller Straße 58,22848,Norderstedt,SH,53.67702,9.97707,eintrachtnorderstedt.de,https://de.wikipedia.org/wiki/Eintracht_Norderstedt,https://en.wikipedia.org/wiki/FC_Eintracht_Norderstedt_03,Missing
70,germany_league_4,Regionalliga Nord,2,FC St. Pauli II,Edmund-Plambeck-Stadion,5.068,Ochsenzoller Straße 58,22848,Norderstedt,SH,53.67702,9.97707,fcstpauli.com,https://de.wikipedia.org/wiki/FC_St._Pauli,https://en.wikipedia.org/wiki/FC_St._Pauli,Missing
71,germany_league_4,Regionalliga Nord,1,Lüneburger SK Hansa,Sportanlage Sülzwiesen,4.000,Am Grasweg 27,21339,Lüneburg,NI,52.37657,9.77290,lsk-hansa.de,https://de.wikipedia.org/wiki/L%C3%BCneburger_SK_Hansa,https://en.wikipedia.org/wiki/L%C3%BCneburger_SK_Hansa,https://www.openstreetmap.org/way/144974205
72,germany_league_4,Regionalliga Nord,1,Hannoverscher SC,HSC-Stadion Constantinstraße,3.000,Constantinstraße 86 ,30177,Hannover-List,NI,52.40260,9.76750,hsc-hannover.de,https://de.wikipedia.org/wiki/Hannoverscher_SC,https://en.wikipedia.org/wiki/Hannoverscher_SC,https://www.openstreetmap.org/way/32209700
73,germany_league_4,Regionalliga Nord,1,Altona 93,Adolf-Jäger-Kampfbahn,8.000,Griegstraße 62,22763,Hamburg,HH,53.55550,9.91152,altona93.de,https://de.wikipedia.org/wiki/Altona_93,https://en.wikipedia.org/wiki/Altonaer_FC_von_1893,https://www.openstreetmap.org/way/24842351
74,germany_league_4,Regionalliga Nord,1,Heider SV,Stadion an der Meldorfer Straße,11.000,Meldorfer Straße 30,25746,Heide,SH,54.18952,9.08725,heidersv.de,https://de.wikipedia.org/wiki/Heider_SV,https://en.wikipedia.org/wiki/Heider_SV,https://www.openstreetmap.org/way/114926529
75,germany_league_4,Regionalliga Nordost,1,Energie Cottbus,Stadion der Freundschaft,22.528,Am Eliaspark 1,03042,Cottbus,BB,51.75158,14.34560,fcenergie.de,https://de.wikipedia.org/wiki/Energie_Cottbus,https://en.wikipedia.org/wiki/FC_Energie_Cottbus,https://www.openstreetmap.org/way/150076813
76,germany_league_4,Regionalliga Nordost,1,Berliner AK 07,Poststadion Berlin,10.000,Lehrter Straße 59,10557,Berlin,BE,52.53002,13.35931,bak07.de,https://de.wikipedia.org/wiki/Berliner_AK_07,https://en.wikipedia.org/wiki/Berliner_AK_07,https://www.openstreetmap.org/way/4676150
77,germany_league_4,Regionalliga Nordost,1,Wacker Nordhausen,Albert-Kuntz-Sportpark,8.088,Parkallee 8a,99734,Nordhausen,TH,51.52118,10.78303,wacker90.de,https://de.wikipedia.org/wiki/Wacker_Nordhausen,https://en.wikipedia.org/wiki/FSV_Wacker_90_Nordhausen,https://www.openstreetmap.org/way/391524454
78,germany_league_4,Regionalliga Nordost,2,Hertha BSC II,Stadion auf dem Wurfplatz,5.400,Hanns-Braun-Straße ,14053,Berlin-Charlottenburg,BE,52.51717,13.23674,herthabsc.de,https://de.wikipedia.org/wiki/Hertha_BSC,https://en.wikipedia.org/wiki/Hertha_BSC,https://www.openstreetmap.org/way/24296069
79,germany_league_4,Regionalliga Nordost,1,FC Rot-Weiß Erfurt,Steigerwaldstadion,18.611,Mozartallee 3,99096,Erfurt,TH,50.96025,11.03726,rot-weiss-erfurt.de,https://de.wikipedia.org/wiki/FC_Rot-Weiß_Erfurt,https://en.wikipedia.org/wiki/FC_Rot-Weiß_Erfurt,https://www.openstreetmap.org/way/37437787
80,germany_league_4,Regionalliga Nordost,1,1. FC Lokomotive Leipzig,Bruno-Plache-Stadion,10.900,Connewitzer Straße 21,4289,Leipzig,SN,51.30296,12.41926,lok-leipzig.com,https://de.wikipedia.org/wiki/1._FC_Lokomotive_Leipzig_(2003),https://en.wikipedia.org/wiki/1._FC_Lokomotive_Leipzig,https://www.openstreetmap.org/way/32995500
